freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.388e+03,3.095e+01,4.872e+01,2.467e+03
1.5,1.488e+03,5.469e+01,7.457e+01,1.617e+03
2.9,2.534e+02,4.625e+01,4.728e+01,3.469e+02
4.4,6.187e+02,4.583e+01,4.491e+01,7.094e+02
5.8,2.107e+03,5.006e+01,4.328e+01,2.201e+03
7.3,3.409e+03,4.877e+01,4.516e+01,3.503e+03
8.7,4.518e+03,5.053e+01,4.759e+01,4.616e+03
10.2,5.742e+03,4.855e+01,4.834e+01,5.839e+03
11.6,7.424e+03,4.921e+01,4.695e+01,7.520e+03
13.1,9.413e+03,4.954e+01,4.334e+01,9.506e+03
14.5,1.189e+04,4.750e+01,4.322e+01,1.198e+04
16.0,1.518e+04,5.143e+01,3.807e+01,1.527e+04
17.4,1.872e+04,5.455e+01,3.557e+01,1.881e+04
18.9,2.297e+04,5.090e+01,4.164e+01,2.307e+04
20.3,2.802e+04,5.194e+01,4.757e+01,2.812e+04
21.8,3.499e+04,5.185e+01,4.587e+01,3.509e+04
23.2,4.208e+04,5.734e+01,4.933e+01,4.219e+04
24.7,4.794e+04,6.018e+01,4.971e+01,4.805e+04
26.1,5.302e+04,5.642e+01,5.408e+01,5.313e+04
27.6,5.855e+04,5.402e+01,5.040e+01,5.865e+04
29.0,6.519e+04,4.592e+01,4.630e+01,6.528e+04
30.5,7.332e+04,4.637e+01,5.020e+01,7.342e+04
31.9,8.453e+04,4.850e+01,5.138e+01,8.463e+04
33.4,9.829e+04,5.872e+01,5.324e+01,9.840e+04
34.9,1.106e+05,7.178e+01,5.468e+01,1.107e+05
36.3,1.262e+05,9.276e+01,5.208e+01,1.263e+05
37.8,1.448e+05,1.005e+02,6.367e+01,1.450e+05
39.2,1.653e+05,9.342e+01,9.435e+01,1.655e+05
40.7,1.885e+05,7.417e+01,1.148e+02,1.887e+05
42.1,2.201e+05,6.287e+01,1.302e+02,2.203e+05
43.6,2.627e+05,5.395e+01,1.526e+02,2.629e+05
45.0,3.088e+05,6.249e+01,2.032e+02,3.091e+05
46.5,3.689e+05,1.204e+02,2.323e+02,3.693e+05
47.9,4.508e+05,3.523e+02,4.450e+02,4.516e+05
49.4,5.396e+05,6.590e+02,1.222e+03,5.415e+05
50.8,6.535e+05,9.564e+02,2.482e+03,6.570e+05
52.3,8.059e+05,1.112e+03,3.685e+03,8.107e+05
53.7,9.436e+05,1.023e+03,3.706e+03,9.484e+05
55.2,1.207e+06,9.316e+02,3.214e+03,1.211e+06
56.6,1.779e+06,8.604e+02,2.898e+03,1.783e+06
58.1,2.425e+06,6.351e+02,2.185e+03,2.428e+06
59.5,3.687e+06,4.048e+02,2.431e+03,3.690e+06
61.0,6.010e+06,2.322e+02,6.311e+03,6.016e+06
62.4,9.830e+06,3.189e+02,2.833e+04,9.859e+06
63.9,1.635e+07,7.723e+02,1.068e+05,1.645e+07
65.3,1.718e+07,1.215e+03,2.468e+05,1.742e+07
66.8,1.432e+07,5.665e+03,4.230e+05,1.475e+07
68.3,1.064e+07,2.303e+04,5.246e+05,1.119e+07
69.7,8.248e+06,4.460e+04,4.679e+05,8.760e+06
71.2,6.939e+06,5.767e+04,3.148e+05,7.312e+06
72.6,5.484e+06,5.842e+04,1.582e+05,5.701e+06
74.1,4.337e+06,5.433e+04,6.146e+04,4.453e+06
75.5,3.715e+06,5.075e+04,2.409e+04,3.790e+06
77.0,3.333e+06,5.878e+04,7.920e+03,3.400e+06
78.4,3.040e+06,6.818e+04,4.245e+03,3.113e+06
79.9,2.777e+06,7.796e+04,4.822e+03,2.860e+06
81.3,2.513e+06,1.023e+05,8.965e+03,2.624e+06
82.8,2.235e+06,1.525e+05,2.197e+04,2.409e+06
84.2,1.912e+06,2.270e+05,4.511e+04,2.184e+06
85.7,1.604e+06,2.523e+05,6.151e+04,1.917e+06
87.1,1.370e+06,2.045e+05,6.025e+04,1.635e+06
88.6,1.209e+06,1.437e+05,5.206e+04,1.404e+06
90.0,1.092e+06,1.000e+05,4.291e+04,1.235e+06
91.5,9.973e+05,6.641e+04,3.156e+04,1.095e+06
92.9,8.984e+05,3.968e+04,1.977e+04,9.578e+05
94.4,7.997e+05,2.504e+04,1.253e+04,8.373e+05
95.8,7.246e+05,1.789e+04,8.866e+03,7.513e+05
97.3,6.573e+05,1.276e+04,6.073e+03,6.761e+05
98.7,5.813e+05,8.603e+03,3.391e+03,5.932e+05
100.2,5.143e+05,7.089e+03,1.778e+03,5.232e+05
101.7,4.146e+05,7.765e+03,1.114e+03,4.234e+05
103.1,3.493e+05,1.517e+04,1.676e+03,3.662e+05
104.6,3.660e+05,3.082e+04,4.074e+03,4.008e+05
106.0,3.372e+05,4.419e+04,6.862e+03,3.882e+05
107.5,3.329e+05,5.016e+04,9.055e+03,3.921e+05
108.9,3.660e+05,4.340e+04,9.314e+03,4.187e+05
110.4,3.856e+05,2.842e+04,7.364e+03,4.214e+05
111.8,3.656e+05,1.407e+04,4.530e+03,3.842e+05
113.3,3.608e+05,5.568e+03,2.208e+03,3.685e+05
114.7,4.309e+05,3.248e+03,1.290e+03,4.354e+05
116.2,4.119e+05,2.649e+03,5.208e+02,4.151e+05
117.6,3.879e+05,3.986e+03,2.170e+02,3.921e+05
119.1,3.691e+05,5.089e+03,2.157e+02,3.744e+05
120.5,3.521e+05,6.356e+03,2.849e+02,3.588e+05
122.0,3.397e+05,7.558e+03,3.625e+02,3.476e+05
123.4,3.448e+05,9.304e+03,5.754e+02,3.547e+05
124.9,3.321e+05,1.240e+04,8.099e+02,3.453e+05
126.3,3.397e+05,1.507e+04,1.116e+03,3.559e+05
127.8,3.713e+05,1.385e+04,1.401e+03,3.865e+05
129.2,3.890e+05,1.382e+04,1.818e+03,4.047e+05
130.7,4.365e+05,1.413e+04,2.104e+03,4.528e+05
132.1,3.847e+05,7.449e+03,1.970e+03,3.941e+05
133.6,1.293e+05,4.409e+03,1.751e+03,1.354e+05
135.1,5.711e+04,3.447e+03,1.262e+03,6.182e+04
136.5,4.884e+04,1.924e+03,8.644e+02,5.163e+04
138.0,4.120e+04,6.666e+02,6.447e+02,4.251e+04
139.4,3.189e+04,4.078e+02,4.599e+02,3.276e+04
140.9,1.881e+04,3.828e+02,2.417e+02,1.944e+04
142.3,1.207e+04,4.547e+02,9.392e+01,1.262e+04
143.8,1.180e+04,8.179e+02,7.272e+01,1.270e+04
145.2,1.258e+04,6.745e+02,7.430e+01,1.333e+04
146.7,1.263e+04,4.577e+02,8.095e+01,1.316e+04
148.1,1.208e+04,3.635e+02,9.574e+01,1.254e+04
149.6,1.214e+04,3.133e+02,1.015e+02,1.256e+04
151.0,1.265e+04,5.079e+02,1.113e+02,1.327e+04
152.5,1.422e+04,7.738e+02,1.411e+02,1.513e+04
153.9,1.639e+04,7.258e+02,1.610e+02,1.728e+04
155.4,1.721e+04,6.686e+02,1.735e+02,1.805e+04
156.8,1.735e+04,6.078e+02,2.039e+02,1.816e+04
158.3,1.721e+04,5.313e+02,2.229e+02,1.796e+04
159.7,1.761e+04,5.552e+02,2.450e+02,1.841e+04
161.2,1.925e+04,6.919e+02,2.625e+02,2.021e+04
162.6,2.072e+04,8.897e+02,3.158e+02,2.192e+04
164.1,2.023e+04,1.065e+03,3.338e+02,2.163e+04
165.5,1.267e+04,1.047e+03,2.862e+02,1.401e+04
167.0,1.594e+04,1.149e+03,3.027e+02,1.739e+04
168.5,1.740e+04,1.152e+03,2.817e+02,1.883e+04
169.9,1.924e+04,1.057e+03,3.183e+02,2.062e+04
171.4,2.320e+04,1.099e+03,3.778e+02,2.467e+04
172.8,2.374e+04,1.115e+03,4.031e+02,2.525e+04
174.3,2.492e+04,1.029e+03,4.621e+02,2.641e+04
175.7,2.792e+04,1.094e+03,5.480e+02,2.956e+04
177.2,3.155e+04,1.186e+03,6.698e+02,3.340e+04
178.6,3.864e+04,1.395e+03,9.852e+02,4.102e+04
180.1,5.346e+04,2.037e+03,1.683e+03,5.718e+04
181.5,6.553e+04,3.030e+03,2.376e+03,7.093e+04
183.0,6.474e+04,3.804e+03,2.645e+03,7.119e+04
184.4,6.016e+04,3.608e+03,2.726e+03,6.649e+04
185.9,5.170e+04,2.989e+03,2.585e+03,5.727e+04
187.3,4.290e+04,2.371e+03,2.206e+03,4.748e+04
188.8,3.643e+04,2.085e+03,1.758e+03,4.027e+04
190.2,4.276e+04,2.681e+03,2.299e+03,4.774e+04
191.7,4.064e+04,3.422e+03,2.690e+03,4.676e+04
193.1,3.806e+04,4.706e+03,3.159e+03,4.593e+04
194.6,3.212e+04,6.869e+03,3.260e+03,4.224e+04
196.0,3.048e+04,9.783e+03,3.617e+03,4.388e+04
197.5,2.944e+04,1.257e+04,4.014e+03,4.602e+04
198.9,3.077e+04,1.449e+04,4.736e+03,4.999e+04
