freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.809e+01,1.103e+03,9.892e+01,1.220e+03
1.5,3.608e+01,6.279e+02,8.375e+01,7.478e+02
3.1,3.808e+01,3.921e+01,3.419e+01,1.115e+02
4.6,4.014e+01,5.313e+02,3.514e+01,6.065e+02
6.1,4.585e+01,2.002e+03,3.451e+01,2.082e+03
7.6,5.563e+01,3.402e+03,3.380e+01,3.491e+03
9.2,5.256e+01,4.907e+03,3.474e+01,4.994e+03
10.7,5.431e+01,6.902e+03,3.337e+01,6.990e+03
12.2,7.009e+01,9.629e+03,3.595e+01,9.735e+03
13.8,7.016e+01,1.329e+04,3.763e+01,1.340e+04
15.3,6.785e+01,1.556e+04,3.871e+01,1.567e+04
16.8,7.881e+01,1.883e+04,3.623e+01,1.895e+04
18.4,7.637e+01,2.452e+04,4.039e+01,2.464e+04
19.9,7.679e+01,2.584e+04,4.871e+01,2.597e+04
21.4,1.058e+02,2.681e+04,4.833e+01,2.696e+04
22.9,1.255e+02,3.285e+04,3.419e+01,3.301e+04
24.5,1.245e+02,4.130e+04,3.552e+01,4.146e+04
26.0,1.312e+02,4.981e+04,3.278e+01,4.997e+04
27.5,1.559e+02,6.071e+04,3.979e+01,6.091e+04
29.1,1.851e+02,7.449e+04,6.400e+01,7.474e+04
30.6,2.237e+02,9.188e+04,7.875e+01,9.218e+04
32.1,3.147e+02,1.131e+05,1.261e+02,1.136e+05
33.6,4.551e+02,1.343e+05,1.800e+02,1.349e+05
35.2,5.783e+02,1.609e+05,2.594e+02,1.617e+05
36.7,6.422e+02,1.997e+05,5.099e+02,2.008e+05
38.2,7.003e+02,2.614e+05,1.138e+03,2.632e+05
39.8,8.338e+02,3.543e+05,2.564e+03,3.577e+05
41.3,1.054e+03,4.891e+05,4.738e+03,4.949e+05
42.8,1.405e+03,6.960e+05,8.290e+03,7.056e+05
44.4,2.010e+03,1.123e+06,1.837e+04,1.144e+06
45.9,2.892e+03,2.297e+06,5.396e+04,2.354e+06
47.4,3.100e+03,3.836e+06,1.247e+05,3.964e+06
48.9,2.743e+03,3.833e+06,1.556e+05,3.992e+06
50.5,2.155e+03,2.871e+06,1.348e+05,3.008e+06
52.0,1.533e+03,1.948e+06,1.071e+05,2.057e+06
53.5,1.178e+03,1.355e+06,8.665e+04,1.443e+06
55.1,9.354e+02,9.752e+05,7.351e+04,1.050e+06
56.6,8.373e+02,6.811e+05,6.443e+04,7.463e+05
58.1,8.655e+02,4.719e+05,6.131e+04,5.341e+05
59.7,1.009e+03,3.329e+05,6.332e+04,3.972e+05
61.2,1.332e+03,2.377e+05,7.109e+04,3.101e+05
62.7,1.803e+03,1.707e+05,8.681e+04,2.593e+05
64.2,2.458e+03,1.148e+05,1.071e+05,2.245e+05
65.8,2.928e+03,7.179e+04,1.301e+05,2.048e+05
67.3,2.300e+03,4.231e+04,1.554e+05,2.000e+05
68.8,1.455e+03,2.570e+04,1.934e+05,2.205e+05
70.4,1.211e+03,2.768e+04,2.637e+05,2.926e+05
71.9,1.416e+03,4.908e+04,3.157e+05,3.662e+05
73.4,1.762e+03,7.136e+04,2.940e+05,3.671e+05
74.9,2.116e+03,8.996e+04,2.607e+05,3.528e+05
76.5,2.509e+03,1.094e+05,2.401e+05,3.520e+05
78.0,2.723e+03,1.293e+05,2.223e+05,3.544e+05
79.5,3.028e+03,1.453e+05,1.971e+05,3.454e+05
81.1,2.969e+03,1.628e+05,1.620e+05,3.278e+05
82.6,3.019e+03,1.904e+05,1.279e+05,3.213e+05
84.1,3.407e+03,2.310e+05,1.060e+05,3.404e+05
85.7,5.719e+03,2.974e+05,9.814e+04,4.013e+05
87.2,1.047e+04,4.303e+05,1.059e+05,5.466e+05
88.7,1.450e+04,6.430e+05,1.251e+05,7.826e+05
90.2,1.910e+04,1.027e+06,1.605e+05,1.207e+06
91.8,3.664e+04,1.751e+06,2.369e+05,2.024e+06
93.3,6.771e+04,2.490e+06,3.094e+05,2.867e+06
94.8,1.006e+05,2.875e+06,3.385e+05,3.314e+06
96.4,1.138e+05,2.842e+06,3.237e+05,3.280e+06
97.9,1.038e+05,2.495e+06,2.789e+05,2.877e+06
99.4,8.308e+04,2.031e+06,2.292e+05,2.344e+06
100.9,6.153e+04,1.638e+06,1.888e+05,1.888e+06
102.5,4.385e+04,1.312e+06,1.488e+05,1.505e+06
104.0,3.162e+04,1.048e+06,1.135e+05,1.193e+06
105.5,2.440e+04,8.647e+05,8.950e+04,9.786e+05
107.1,1.803e+04,7.346e+05,7.302e+04,8.256e+05
108.6,1.569e+04,6.532e+05,6.280e+04,7.317e+05
110.1,1.338e+04,5.787e+05,5.388e+04,6.460e+05
111.7,1.073e+04,5.219e+05,4.766e+04,5.803e+05
113.2,9.363e+03,4.705e+05,4.260e+04,5.224e+05
114.7,1.013e+04,4.218e+05,3.788e+04,4.698e+05
116.2,1.039e+04,3.974e+05,3.501e+04,4.428e+05
117.8,8.391e+03,3.803e+05,3.296e+04,4.216e+05
119.3,6.761e+03,3.615e+05,3.072e+04,3.990e+05
120.8,6.675e+03,3.547e+05,2.877e+04,3.901e+05
122.4,9.110e+03,3.398e+05,2.661e+04,3.755e+05
123.9,9.823e+03,3.017e+05,2.330e+04,3.348e+05
125.4,1.014e+04,2.686e+05,2.022e+04,2.990e+05
127.0,1.014e+04,2.559e+05,1.880e+04,2.848e+05
128.5,8.021e+03,2.010e+05,1.437e+04,2.234e+05
130.0,6.593e+03,1.680e+05,1.162e+04,1.862e+05
131.5,8.181e+03,2.239e+05,1.544e+04,2.475e+05
133.1,8.731e+03,1.299e+05,9.130e+03,1.478e+05
134.6,1.009e+04,2.420e+04,2.059e+03,3.635e+04
136.1,9.241e+03,1.849e+04,1.637e+03,2.937e+04
137.7,7.285e+03,1.685e+04,1.408e+03,2.554e+04
139.2,9.870e+03,1.706e+04,1.344e+03,2.827e+04
140.7,1.255e+04,1.957e+04,1.436e+03,3.355e+04
142.2,1.450e+04,1.801e+04,1.253e+03,3.377e+04
143.8,1.413e+04,1.338e+04,8.881e+02,2.839e+04
145.3,1.205e+04,8.814e+03,6.573e+02,2.152e+04
146.8,1.027e+04,7.484e+03,7.171e+02,1.847e+04
148.4,8.064e+03,8.041e+03,8.412e+02,1.695e+04
149.9,6.029e+03,9.258e+03,9.091e+02,1.620e+04
151.4,5.924e+03,1.031e+04,1.008e+03,1.724e+04
153.0,6.295e+03,1.095e+04,1.084e+03,1.833e+04
154.5,6.244e+03,1.102e+04,1.072e+03,1.833e+04
156.0,6.799e+03,1.143e+04,1.050e+03,1.928e+04
157.5,8.281e+03,1.211e+04,1.048e+03,2.144e+04
159.1,9.305e+03,1.265e+04,1.050e+03,2.301e+04
160.6,9.139e+03,1.283e+04,1.027e+03,2.300e+04
162.1,8.918e+03,1.220e+04,9.828e+02,2.211e+04
163.7,8.140e+03,1.103e+04,9.086e+02,2.008e+04
165.2,7.761e+03,9.842e+03,8.320e+02,1.843e+04
166.7,8.177e+03,8.823e+03,7.691e+02,1.777e+04
168.2,9.069e+03,8.313e+03,7.420e+02,1.812e+04
169.8,9.446e+03,8.538e+03,7.887e+02,1.877e+04
171.3,9.221e+03,8.719e+03,7.824e+02,1.872e+04
172.8,8.566e+03,7.604e+03,6.774e+02,1.685e+04
174.4,8.706e+03,6.952e+03,5.942e+02,1.625e+04
175.9,8.822e+03,6.948e+03,5.920e+02,1.636e+04
177.4,9.324e+03,6.476e+03,5.422e+02,1.634e+04
179.0,1.005e+04,6.213e+03,5.107e+02,1.677e+04
180.5,1.020e+04,6.784e+03,5.671e+02,1.755e+04
182.0,1.186e+04,7.240e+03,6.122e+02,1.971e+04
183.5,1.549e+04,7.399e+03,6.278e+02,2.351e+04
185.1,1.941e+04,7.379e+03,6.090e+02,2.740e+04
186.6,2.051e+04,7.395e+03,5.723e+02,2.848e+04
188.1,1.950e+04,7.262e+03,5.672e+02,2.733e+04
189.7,1.927e+04,7.103e+03,6.194e+02,2.699e+04
191.2,2.076e+04,7.588e+03,7.201e+02,2.906e+04
192.7,2.205e+04,8.284e+03,8.137e+02,3.115e+04
194.2,2.185e+04,8.235e+03,7.926e+02,3.088e+04
195.8,2.075e+04,7.862e+03,7.615e+02,2.937e+04
197.3,1.815e+04,7.388e+03,7.073e+02,2.625e+04
198.8,1.637e+04,7.353e+03,6.533e+02,2.438e+04
